Date,Confirmed
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,6.0
2020-03-10,8.0
2020-03-11,0.0
2020-03-12,2.0
2020-03-13,3.0
2020-03-14,0.0
2020-03-15,2.0
2020-03-16,3.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,1.0
2020-03-20,12.0
2020-03-21,12.0
2020-03-22,15.0
2020-03-23,28.0
2020-03-24,14.0
2020-03-25,9.0
2020-03-26,19.0
2020-03-27,39.0
2020-03-28,6.0
2020-03-29,20.0
2020-03-30,32.0
2020-03-31,7.0
2020-04-01,24.0
2020-04-02,21.0
2020-04-03,9.0
2020-04-04,11.0
2020-04-05,8.0
2020-04-06,13.0
2020-04-07,8.0
2020-04-08,9.0
2020-04-09,12.0
2020-04-10,7.0
2020-04-11,10.0
2020-04-12,2.0
2020-04-13,3.0
2020-04-14,8.0
2020-04-15,1.0
2020-04-16,7.0
2020-04-17,1.0
2020-04-18,4.0
2020-04-19,2.0
2020-04-20,6.0
2020-04-21,19.0
2020-04-22,11.0
2020-04-23,10.0
2020-04-24,3.0
2020-04-25,7.0
2020-04-26,11.0
2020-04-27,13.0
2020-04-28,4.0
2020-04-29,10.0
2020-04-30,2.0
2020-05-01,0.0
2020-05-02,2.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,3.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,1.0
2020-05-09,2.0
2020-05-10,7.0
2020-05-11,7.0
2020-05-12,5.0
2020-05-13,10.0
2020-05-14,26.0
2020-05-15,16.0
2020-05-16,11.0
2020-05-17,14.0
2020-05-18,29.0
2020-05-19,12.0
2020-05-20,24.0
2020-05-21,24.0
2020-05-22,42.0
2020-05-23,62.0
2020-05-24,53.0
2020-05-25,49.0
2020-05-26,67.0
2020-05-27,40.0
2020-05-28,85.0
2020-05-29,62.0
2020-05-30,58.0
2020-05-31,61.0
2020-06-01,57.0
2020-06-02,86.0
2020-06-03,82.0
2020-06-04,94.0
2020-06-05,111.0
2020-06-06,108.0
2020-06-07,107.0
2020-06-08,91.0
2020-06-09,91.0
2020-06-10,65.0
2020-06-11,83.0
2020-06-12,78.0
2020-06-13,85.0
2020-06-14,54.0
2020-06-15,82.0
2020-06-16,79.0
2020-06-17,75.0
2020-06-18,97.0
2020-06-19,118.0
2020-06-20,127.0
2020-06-21,133.0
2020-06-22,138.0
2020-06-23,141.0
2020-06-24,152.0
2020-06-25,123.0
2020-06-26,150.0
2020-06-27,195.0
2020-06-28,118.0
2020-06-29,122.0
2020-06-30,131.0
2020-07-01,151.0
2020-07-02,160.0
2020-07-03,211.0
2020-07-04,240.0
2020-07-05,225.0
2020-07-06,193.0
2020-07-07,272.0
2020-07-08,301.0
2020-07-09,339.0
2020-07-10,416.0
2020-07-11,488.0
2020-07-12,435.0
2020-07-13,449.0
2020-07-14,608.0
2020-07-15,623.0
2020-07-16,722.0
2020-07-17,791.0
2020-07-18,593.0
2020-07-19,821.0
2020-07-20,794.0
2020-07-21,720.0
2020-07-22,1038.0
2020-07-23,1078.0
2020-07-24,885.0
2020-07-25,1103.0
2020-07-26,927.0
2020-07-27,702.0
2020-07-28,1167.0
2020-07-29,903.0
2020-07-30,506.0
2020-07-31,1310.0
2020-08-01,1129.0
2020-08-02,1169.0
2020-08-03,962.0
2020-08-04,1083.0
2020-08-05,1195.0
2020-08-06,1298.0
2020-08-07,1251.0
2020-08-08,1420.0
2020-08-09,1211.0
2020-08-10,1184.0
2020-08-11,1417.0
2020-08-12,1212.0
2020-08-13,1564.0
2020-08-14,1569.0
2020-08-15,1608.0
2020-08-16,1530.0
2020-08-17,1725.0
2020-08-18,1758.0
2020-08-19,2333.0
2020-08-20,1968.0
2020-08-21,1983.0
2020-08-22,2172.0
2020-08-23,1908.0
2020-08-24,1242.0
2020-08-25,2375.0
2020-08-26,2476.0
2020-08-27,2406.0
2020-08-28,2543.0
2020-08-29,2397.0
2020-08-30,2154.0
2020-08-31,1530.0
2020-09-01,1140.0
2020-09-02,1547.0
2020-09-03,1553.0
2020-09-04,2479.0
2020-09-05,2655.0
2020-09-06,3082.0
2020-09-07,1648.0
2020-09-08,3026.0
2020-09-09,3402.0
2020-09-10,3349.0
2020-09-11,2988.0
2020-09-12,2885.0
2020-09-13,3139.0
2020-09-14,2540.0
2020-09-15,3215.0
2020-09-16,3830.0
2020-09-17,4351.0
2020-09-18,4167.0
2020-09-19,4644.0
2020-09-20,4696.0
2020-09-21,2910.0
2020-09-22,4125.0
2020-09-23,5376.0
2020-09-24,6324.0
2020-09-25,6477.0
2020-09-26,7006.0
2020-09-27,7445.0
2020-09-28,4538.0
2020-09-29,7354.0
2020-09-30,8830.0
2020-10-01,8135.0
2020-10-02,9258.0
2020-10-03,7834.0
2020-10-04,8553.0
2020-10-05,5042.0
2020-10-06,7871.0
2020-10-07,10606.0
2020-10-08,5445.0
2020-10-09,9250.0
2020-10-10,11755.0
2020-10-11,9347.0
2020-10-12,5930.0
2020-10-13,8764.0
2020-10-14,6244.0
2020-10-15,7789.0
2020-10-16,7283.0
2020-10-17,9016.0
2020-10-18,7631.0
2020-10-19,5022.0
2020-10-20,6591.0
2020-10-21,8369.0
2020-10-22,7482.0
2020-10-23,8511.0
2020-10-24,8253.0
2020-10-25,6843.0
2020-10-26,4287.0
2020-10-27,5457.0
2020-10-28,8790.0
2020-10-29,7020.0
2020-10-30,6638.0
2020-10-31,7983.0
2020-11-01,7025.0
2020-11-02,4138.0
2020-11-03,6862.0
2020-11-04,8516.0
2020-11-05,6820.0
2020-11-06,7002.0
2020-11-07,7201.0
2020-11-08,5440.0
2020-11-09,3593.0
2020-11-10,6010.0
2020-11-11,7007.0
2020-11-12,5537.0
2020-11-13,5804.0
2020-11-14,6357.0
2020-11-15,4581.0
2020-11-16,2710.0
2020-11-17,5792.0
2020-11-18,6419.0
2020-11-19,5722.0
2020-11-20,6028.0
2020-11-21,5772.0
2020-11-22,5254.0
2020-11-23,3757.0
2020-11-24,5420.0
2020-11-25,6491.0
2020-11-26,5378.0
2020-11-27,3966.0
2020-11-28,6250.0
2020-11-29,5643.0
2020-11-30,3382.0
2020-12-01,5375.0
2020-12-02,6316.0
2020-12-03,5376.0
2020-12-04,5718.0
2020-12-05,5848.0
2020-12-06,4777.0
2020-12-07,3272.0
2020-12-08,5032.0
2020-12-09,4875.0
2020-12-10,4470.0
2020-12-11,4642.0
2020-12-12,5949.0
2020-12-13,4698.0
2020-12-14,2707.0
2020-12-15,5218.0
2020-12-16,6185.0
2020-12-17,4969.0
2020-12-18,5456.0
2020-12-19,6293.0
2020-12-20,5711.0
2020-12-21,3423.0
2020-12-22,6049.0
2020-12-23,6169.0
2020-12-24,5177.0
2020-12-25,5397.0
2020-12-26,3527.0
2020-12-27,4905.0
2020-12-28,3047.0
2020-12-29,5887.0
2020-12-30,6268.0
2020-12-31,5215.0
2021-01-01,4991.0
2021-01-02,5328.0
2021-01-03,4600.0
2021-01-04,3021.0
2021-01-05,5615.0
2021-01-06,6394.0
2021-01-07,5051.0
2021-01-08,5142.0
2021-01-09,5528.0
2021-01-10,4545.0
2021-01-11,3110.0
2021-01-12,5507.0
2021-01-13,6004.0
2021-01-14,5490.0
2021-01-15,5624.0
2021-01-16,5960.0
2021-01-17,5005.0
2021-01-18,3346.0
